"Geslacht";"Leeftijd";"Migratieachtergrond";"Regio's";"Perioden";"Voortgezet onderwijs/Totaal voortgezet onderwijs (aantal)";"Voortgezet onderwijs/Vmbo (aantal)";"Voortgezet onderwijs/Havo (aantal)";"Voortgezet onderwijs/Vwo (aantal)";"Middelbaar beroepsonderwijs/Totaal Mbo (aantal)";"Middelbaar beroepsonderwijs/Entreeopleiding (niveau 1) (aantal)";"Middelbaar beroepsonderwijs/Mbo niveau 2-4 (aantal)";"Hoger beroepsonderwijs/Hbo (aantal)";"Wetenschappelijk onderwijs/Wo bachelor (aantal)";"Wetenschappelijk onderwijs/Wo master/doctoraal (aantal)"
"Mannen";"12 tot 25 jaar";"Totaal ";"Nederland";"2000/'01";;;;;;;;14860;50;4610
"Mannen";"12 tot 25 jaar";"Totaal ";"Nederland";"2005/'06";81360;50490;17630;13250;62750;6170;56580;15710;6190;5240
"Mannen";"12 tot 25 jaar";"Totaal ";"Nederland";"2006/'07";84290;52100;18450;13740;63920;6180;57740;15590;7170;5120
"Mannen";"12 tot 25 jaar";"Totaal ";"Nederland";"2007/'08";86050;51500;19540;15020;64920;5860;59060;15800;7700;4940
"Mannen";"12 tot 25 jaar";"Totaal ";"Nederland";"2008/'09";85500;50260;19600;15640;67250;5550;61710;16280;8430;5200
"Mannen";"12 tot 25 jaar";"Totaal ";"Nederland";"2009/'10";84200;49430;20440;14320;69340;6080;63270;16360;9000;5310
"Mannen";"12 tot 25 jaar";"Totaal ";"Nederland";"2010/'11";83110;47680;20390;15040;67640;6150;61490;15910;10620;6030
"Mannen";"12 tot 25 jaar";"Totaal ";"Nederland";"2011/'12";82890;46750;21280;14860;70260;6620;63640;16720;12810;7030
"Mannen";"12 tot 25 jaar";"Totaal ";"Nederland";"2012/'13";83970;47750;20800;15420;72600;6720;65880;15520;12120;6560
"Mannen";"12 tot 25 jaar";"Totaal ";"Nederland";"2013/'14";86250;49760;21250;15240;72390;6670;65720;15790;12460;7040
"Mannen";"12 tot 25 jaar";"Totaal ";"Nederland";"2014/'15";89570;51950;21900;15720;71940;5760;66180;17280;13480;7410
"Mannen";"12 tot 25 jaar";"Totaal ";"Nederland";"2015/'16";91980;53690;23060;15240;68180;5210;62970;17480;13160;7840
"Mannen";"12 tot 25 jaar";"Totaal ";"Nederland";"2016/'17";92760;53770;22540;16450;68770;5150;63620;18270;13700;8300
"Mannen";"12 tot 25 jaar";"Totaal ";"Nederland";"2017/'18";91770;52140;23200;16430;65730;5660;60070;18910;13970;8480
